dataset,fold,params,clf,random_state,fit_time,score_time,test_accuracy,test_roc_auc
42900,0,{'random_state': 42},logistic_regression,42,0.1208970546722412,0.0265717506408691,0.5641025641025641,0.7433155080213903
42900,1,{'random_state': 42},logistic_regression,42,0.0423064231872558,0.0117788314819335,0.7435897435897436,0.8142857142857143
42900,0,{'random_state': 42},qreg,42,0.1254506111145019,0.0035321712493896,0.5641025641025641,0.6390374331550802
42900,2,{'random_state': 42},logistic_regression,42,0.0214502811431884,0.0040788650512695,0.6153846153846154,0.7566137566137566
42900,2,{'random_state': 42},qreg,42,0.0940721035003662,0.0029022693634033,0.6923076923076923,0.8253968253968254
42900,1,{'random_state': 42},qreg,42,0.2101597785949707,0.0038473606109619,0.358974358974359,0.6057142857142856
42900,3,{'random_state': 42},qreg,42,0.0529916286468505,0.0031676292419433,0.6153846153846154,0.7847222222222223
42900,3,{'random_state': 42},logistic_regression,42,0.0836138725280761,0.025975227355957,0.6666666666666666,0.7833333333333333
42900,5,{'random_state': 42},logistic_regression,42,0.0167889595031738,0.0030477046966552,0.6923076923076923,0.7710526315789474
42900,4,{'random_state': 42},logistic_regression,42,0.0983245372772216,0.0298304557800292,0.6923076923076923,0.8473684210526315
42900,6,{'random_state': 42},logistic_regression,42,0.1015102863311767,0.0525214672088623,0.7948717948717948,0.868421052631579
42900,4,{'random_state': 42},qreg,42,0.2989253997802734,0.0035517215728759,0.6410256410256411,0.7868421052631579
42900,7,{'random_state': 42},logistic_regression,42,0.1024024486541748,0.0285172462463378,0.6153846153846154,0.7083333333333334
42900,5,{'random_state': 42},qreg,42,0.3227217197418213,0.0300209522247314,0.6153846153846154,0.7105263157894737
42900,8,{'random_state': 42},logistic_regression,42,0.1604347229003906,0.0999436378479003,0.6923076923076923,0.720108695652174
42900,7,{'random_state': 42},qreg,42,0.3616464138031006,0.0031208992004394,0.3846153846153846,0.775
42900,6,{'random_state': 42},qreg,42,0.607865571975708,0.0413329601287841,0.5384615384615384,0.7092105263157894
42900,9,{'random_state': 42},logistic_regression,42,0.253777265548706,0.0512666702270507,0.7692307692307693,0.9078947368421052
42900,10,{'random_state': 42},logistic_regression,42,0.1663029193878173,0.0318977832794189,0.7948717948717948,0.8206521739130435
42900,9,{'random_state': 42},qreg,42,0.3192307949066162,0.0144405364990234,0.5384615384615384,0.8144736842105263
42900,11,{'random_state': 42},logistic_regression,42,0.2092835903167724,0.0029678344726562,0.8205128205128205,0.8048128342245988
42900,8,{'random_state': 42},qreg,42,0.86372971534729,0.0027070045471191,0.5897435897435898,0.6304347826086957
42900,12,{'random_state': 42},logistic_regression,42,0.1552646160125732,0.0038661956787109,0.6410256410256411,0.708994708994709
42900,13,{'random_state': 42},qreg,42,0.148461103439331,0.003920555114746,0.6410256410256411,0.716577540106952
42900,14,{'random_state': 42},logistic_regression,42,0.1180734634399414,0.0026948451995849,0.717948717948718,0.7710526315789474
42900,13,{'random_state': 42},logistic_regression,42,0.1582040786743164,0.0181348323822021,0.7435897435897436,0.8101604278074866
42900,16,{'random_state': 42},logistic_regression,42,0.0217876434326171,0.0037798881530761,0.5897435897435898,0.6440217391304348
42900,12,{'random_state': 42},qreg,42,0.2197232246398925,0.0050709247589111,0.5384615384615384,0.7063492063492063
42900,10,{'random_state': 42},qreg,42,0.5113186836242676,0.0125887393951416,0.4102564102564102,0.7255434782608695
42900,15,{'random_state': 42},logistic_regression,42,0.0903167724609375,0.0039000511169433,0.6923076923076923,0.7336956521739131
42900,17,{'random_state': 42},qreg,42,0.0653705596923828,0.0034928321838378,0.3846153846153846,0.8013888888888889
42900,18,{'random_state': 42},logistic_regression,42,0.0323867797851562,0.002922773361206,0.717948717948718,0.8128342245989304
42900,11,{'random_state': 42},qreg,42,0.4516286849975586,0.0446372032165527,0.6666666666666666,0.7593582887700534
42900,19,{'random_state': 42},logistic_regression,42,0.0628523826599121,0.0037696361541748,0.6923076923076923,0.7552631578947369
42900,17,{'random_state': 42},logistic_regression,42,0.0875515937805175,0.0031535625457763,0.717948717948718,0.7583333333333333
42900,19,{'random_state': 42},qreg,42,0.0907206535339355,0.0036134719848632,0.4871794871794871,0.6513157894736842
42900,16,{'random_state': 42},qreg,42,0.2331078052520752,0.0036234855651855,0.6153846153846154,0.6847826086956522
42900,18,{'random_state': 42},qreg,42,0.2029085159301757,0.0028800964355468,0.5384615384615384,0.7633689839572193
42900,14,{'random_state': 42},qreg,42,0.3651578426361084,0.0129296779632568,0.5641025641025641,0.7605263157894737
42900,15,{'random_state': 42},qreg,42,0.38707494735717773,0.013034343719482422,0.41025641025641024,0.779891304347826
