dataset,fold,params,clf,random_state,fit_time,score_time,test_accuracy,test_roc_auc
43979,3,{'random_state': 42},logistic_regression,42,0.4009065628051758,0.3452372550964355,0.7882525697503671,0.872679421710027
43979,1,{'random_state': 42},qreg,42,0.8716976642608643,0.0598835945129394,0.7465491923641704,0.8125975123777321
43979,5,{'random_state': 42},logistic_regression,42,0.8083343505859375,0.3580145835876465,0.7903083700440529,0.8765936521649724
43979,0,{'random_state': 42},logistic_regression,42,0.9443066120147704,0.4166493415832519,0.8026431718061674,0.8830906883333489
43979,4,{'random_state': 42},logistic_regression,42,1.1897623538970947,0.3914728164672851,0.7932452276064611,0.8786270714555621
43979,0,{'random_state': 42},qreg,42,1.5897302627563477,0.1650359630584716,0.7387665198237885,0.8018844896925219
43979,1,{'random_state': 42},logistic_regression,42,1.4170551300048828,0.5096263885498047,0.8136563876651982,0.8952628219504202
43979,2,{'random_state': 42},logistic_regression,42,1.5107364654541016,0.5196192264556885,0.8032305433186491,0.8818100319448674
43979,4,{'random_state': 42},qreg,42,2.1099116802215576,0.1559548377990722,0.7392070484581498,0.8028724609303067
43979,5,{'random_state': 42},qreg,42,2.3942959308624268,0.119889497756958,0.6822320117474302,0.8026471480216149
43979,3,{'random_state': 42},qreg,42,2.6997299194335938,0.1292226314544677,0.7365638766519824,0.8029465271547858
43979,2,{'random_state': 42},qreg,42,2.8186914920806885,0.0738167762756347,0.6756240822320118,0.8002338993243042
43979,6,{'random_state': 42},qreg,42,1.854353904724121,0.2513043880462646,0.7459618208516887,0.8117568580205511
43979,8,{'random_state': 42},logistic_regression,42,1.124324083328247,0.3031339645385742,0.7955947136563877,0.8801814731757805
43979,7,{'random_state': 42},logistic_regression,42,1.4363036155700684,0.3467233180999756,0.8038179148311307,0.8893221218838347
43979,11,{'random_state': 42},logistic_regression,42,0.1810724735260009,0.0590744018554687,0.7979441997063142,0.8825144622978764
43979,10,{'random_state': 42},qreg,42,2.1895506381988525,0.0356497764587402,0.745374449339207,0.8055839569785509
43979,6,{'random_state': 42},logistic_regression,42,1.475322723388672,0.5236866474151611,0.7938325991189428,0.8796916443793074
43979,10,{'random_state': 42},logistic_regression,42,1.0511057376861572,0.3505549430847168,0.8052863436123348,0.8870414377839765
43979,9,{'random_state': 42},logistic_regression,42,1.4671485424041748,0.2652053833007812,0.7986784140969163,0.8780298654842196
43979,7,{'random_state': 42},qreg,42,2.963860273361206,0.3316953182220459,0.6763582966226138,0.8120846036917445
43979,9,{'random_state': 42},qreg,42,2.896269559860229,0.2807271480560303,0.6837004405286343,0.8067535888815746
43979,11,{'random_state': 42},qreg,42,2.6322920322418213,0.3693075180053711,0.6807635829662262,0.8107827759969202
43979,12,{'random_state': 42},logistic_regression,42,0.8668885231018066,0.2471518516540527,0.8022026431718061,0.8840776627841026
43979,8,{'random_state': 42},qreg,42,3.514979839324951,0.4402399063110351,0.7350954478707783,0.8027063136104882
43979,13,{'random_state': 42},logistic_regression,42,1.119178056716919,0.319568395614624,0.7947136563876652,0.8791915898431182
43979,15,{'random_state': 42},qreg,42,0.2679417133331299,0.0546426773071289,0.7358296622613804,0.8319840845195922
43979,14,{'random_state': 42},logistic_regression,42,1.1462314128875732,0.2628185749053955,0.7910425844346549,0.8771705283306233
43979,13,{'random_state': 42},qreg,42,3.7108137607574463,0.3401565551757812,0.7434654919236418,0.807735101622729
43979,19,{'random_state': 42},logistic_regression,42,0.5992095470428467,0.1050586700439453,0.7930983847283407,0.8764429567769989
43979,15,{'random_state': 42},logistic_regression,42,0.9893221855163574,0.2947366237640381,0.7914831130690162,0.8740904290698348
43979,12,{'random_state': 42},qreg,42,2.623535394668579,0.2938652038574219,0.7348017621145374,0.7984148269236161
43979,18,{'random_state': 42},logistic_regression,42,1.2295737266540527,0.3911085128784179,0.7995594713656388,0.883006902225262
43979,14,{'random_state': 42},qreg,42,3.167921304702759,0.4333059787750244,0.7395007342143906,0.8001684318168116
43979,17,{'random_state': 42},logistic_regression,42,1.0680763721466064,0.1857168674468994,0.8045521292217327,0.8878363116963727
43979,16,{'random_state': 42},logistic_regression,42,1.5288267135620115,0.426248550415039,0.8071953010279002,0.8865229667544594
43979,19,{'random_state': 42},qreg,42,1.15038800239563,0.0640363693237304,0.744640234948605,0.8360850609742686
43979,18,{'random_state': 42},qreg,42,1.5644032955169678,0.1224184036254882,0.7534508076358296,0.8153458048673766
43979,16,{'random_state': 42},qreg,42,2.6842195987701416,0.0561957359313964,0.7449339207048458,0.8126857861358348
43979,17,{'random_state': 42},qreg,42,1.1471750736236572,0.06519699096679688,0.6773861967694567,0.8068175398020038
